   9.37500,-941.52332,   0.71005,  -0.02754,   0.00569
   9.37500,-941.52332,   0.71005,  -0.02754,   0.00569
   9.37500,-941.52332,   0.71005,  -0.02754,   0.00569
   9.37500,7159.16992,   1.13863,  -0.04399,   0.00911
   9.37500,7159.16992,   1.13863,  -0.04399,   0.00911
   9.37500,7159.16992,   1.13863,  -0.04399,   0.00911
   9.37500,7159.16992,   1.13863,  -0.04399,   0.00911
   9.37500,7159.16992,   1.13863,  -0.04399,   0.00911
   9.37500,2696.27100,   1.39323,  -0.05393,   0.01116
   9.37500,2696.27100,   1.39323,  -0.05393,   0.01116
   9.37500,2696.27100,   1.39323,  -0.05393,   0.01116
   9.37500,2696.27100,   1.39323,  -0.05393,   0.01116
   9.37500,2205.01050,   1.54599,  -0.05990,   0.01239
   9.37500,2205.01050,   1.54599,  -0.05990,   0.01239
   9.37500,2205.01050,   1.54599,  -0.05990,   0.01239
   9.37500,2205.01050,   1.54599,  -0.05990,   0.01239
   9.37500,2205.01050,   1.54599,  -0.05990,   0.01239
   9.37500,1260.40137,   1.63764,  -0.06348,   0.01312
   9.37500,1260.40137,   1.63764,  -0.06348,   0.01312
   9.37500,1260.40137,   1.63764,  -0.06348,   0.01312
   9.37500,1260.40137,   1.63764,  -0.06348,   0.01312
   9.37500,1260.40137,   1.63764,  -0.06348,   0.01312
   9.37500, 942.90479,   1.69264,  -0.06562,   0.01357
   9.37500, 942.90479,   1.69264,  -0.06562,   0.01357
   9.37500, 942.90479,   1.69264,  -0.06562,   0.01357
   9.37500, 942.90479,   1.69264,  -0.06562,   0.01357
   9.37500, 879.62988,   1.72819,  -0.06684,   0.01384
   9.37500, 879.62988,   1.72819,  -0.06684,   0.01384
   9.37500, 879.62988,   1.72819,  -0.06684,   0.01384
   9.37500, 879.62988,   1.72819,  -0.06684,   0.01384
   9.37500, 879.62988,   1.72819,  -0.06684,   0.01384
   9.37500, 628.87250,   1.74696,  -0.06764,   0.01399
   9.37500, 628.87250,   1.74696,  -0.06764,   0.01399
   9.37500, 628.87250,   1.74696,  -0.06764,   0.01399
   9.37500, 628.87250,   1.74696,  -0.06764,   0.01399
   9.37500, 628.87250,   1.74696,  -0.06764,   0.01399
   9.37500, 448.91980,   1.74921,  -0.06760,   0.01403
   9.37500, 448.91980,   1.74921,  -0.06760,   0.01403
   9.37500, 448.91980,   1.74921,  -0.06760,   0.01403
   9.37500, 448.91980,   1.74921,  -0.06760,   0.01403
   9.37500, 586.58838,   1.75958,  -0.06810,   0.01411
   9.37500, 586.58838,   1.75958,  -0.06810,   0.01411
   9.37500, 586.58838,   1.75958,  -0.06810,   0.01411
   9.37500, 586.58838,   1.75958,  -0.06810,   0.01411
   9.37500, 586.58838,   1.75958,  -0.06810,   0.01411
   9.37500, 527.25122,   1.76580,  -0.06840,   0.01416
   9.37500, 527.25122,   1.76580,  -0.06840,   0.01416
   9.37500, 527.25122,   1.76580,  -0.06840,   0.01416
   9.37500, 527.25122,   1.76580,  -0.06840,   0.01416
   9.37500, 550.84491,   1.77208,  -0.06850,   0.01419
   9.37500, 550.84491,   1.77208,  -0.06850,   0.01419
