  -0.11139,   0.00000, 996.74469, 406.02325, 994.31091, 402.92117
  -5.54352,   0.00000,1000.01752, 429.72269, 986.90790, 383.35193
  -0.29449,   0.00000,1012.87097, 420.87854, 980.00494, 386.24551
  -9.81598,   0.00000, 979.91412, 431.53030, 997.91760, 390.63797
   1.04828,   0.00000, 986.99713, 429.41061, 967.44458, 416.14771
   0.19379,   0.00000, 963.57263, 412.66684, 986.75183, 437.00873
  -3.89557,   0.00000, 965.03302, 386.81238,1024.87439, 423.28024
  -1.08795,   0.00000,1016.85284, 397.44958,1005.81427, 379.88327
  -8.71735,   0.00000, 931.61572, 486.22861, 939.92346, 442.23227
  -6.33698,   0.00000, 952.29291, 485.59760, 933.41333, 428.69614
  -3.83453,   0.00000, 921.30042, 471.81598, 939.68762, 467.19601
  -4.07867,   0.00000, 912.08209, 453.39890, 958.83716, 475.68185
  -6.70319,   0.00000, 908.98401, 476.74008, 943.36951, 470.90640
   2.45209,   0.00000, 930.32764, 442.90051, 949.74323, 477.02863
  -4.62799,   0.00000, 942.82935, 456.30814, 957.57587, 443.28668
   0.13275,   0.00000, 784.84601, 593.07990, 806.52185, 615.55225
  -1.69830,   0.00000, 811.15918, 597.73492, 807.35999, 583.74591
  -2.24762,   0.00000, 803.84863, 579.35187, 827.39099, 589.40851
 -11.76910,   0.00000, 788.18384, 605.04932, 830.25800, 576.50885
 -11.52496,   0.00000, 752.01624, 628.89740, 805.67749, 613.40887
   6.48041,   0.00000, 810.04712, 562.74005, 817.81873, 609.39410
   0.98724,   0.00000, 843.54260, 581.18884, 815.84943, 559.41913
  -9.75494,   0.00000, 804.16785, 638.84631, 790.41852, 566.56732
   5.19867,   0.00000, 800.54602, 569.03143, 815.37256, 615.04999
   1.35345,   0.00000, 829.97003, 570.33972, 825.59991, 574.09033
 -10.06012,   0.00000,1018.85468, 346.18362,1083.99670, 350.96500
  -5.11627,   0.00000,1016.26312, 391.53955,1023.80927, 368.38809
   1.78070,   0.00000,1031.62512, 349.91245,1044.74548, 373.71701
   1.41449,   0.00000,1055.56311, 376.81018,1018.94635, 348.68042
   1.23138,   0.00000,1011.81934, 343.83774,1052.46814, 391.87482
   0.86517,   0.00000,1044.87292, 342.23352,1055.17090, 357.72266
  -0.23346,   0.00000,1127.90686, 378.29651,1022.40387, 271.39273
  -5.17731,   0.00000,1029.75903, 408.57236,1006.95959, 354.70898
  -9.02252,   0.00000, 977.89514, 392.93909,1034.12842, 395.03729
  -1.82037,   0.00000, 989.82416, 375.93317,1029.52795, 404.71472
  -0.72174,   0.00000,1001.69025, 425.50711, 976.65814, 396.14450
   1.29242,   0.00000,1018.66052, 317.80060,1078.32214, 385.21674
  -7.74078,   0.00000,1020.78821, 385.09167,1038.13074, 355.98941
  -4.81110,   0.00000,1071.00684, 316.52310,1097.91016, 314.55981
  -0.72174,   0.00000,1163.62817, 343.26602,1058.89917, 234.20660
  -8.16803,   0.00000,1150.94312, 326.36490,1098.13916, 224.55276
 -10.06012,   0.00000,1125.97156, 353.53577,1076.64453, 243.84810
   0.62103,   0.00000,1045.40540, 291.66211,1106.47485, 356.45767
   0.01068,   0.00000, 987.35419, 370.62277,1029.34521, 412.67786
   3.97797,   0.00000,1010.09851, 355.78677,1032.27930, 401.83539
   0.49896,   0.00000,1023.16058, 383.64545,1014.85767, 378.33627
  -1.63727,   0.00000,1096.25671, 376.29044,1028.62134, 298.83142
  -9.75494,   0.00000,1159.82727, 353.47464,1075.79016, 210.90793
  -2.24762,   0.00000,1070.88904, 347.55655,1059.18628, 322.36807
   5.13763,   0.00000, 983.23724, 352.73563,1031.85144, 432.17566
   1.53656,   0.00000,1017.08417, 380.24496,1015.14539, 387.52551
   1.29242,   0.00000,1041.37903, 358.73886,1037.38391, 362.49820
  -5.66559,   0.00000,1129.75146, 318.94244,1098.05432, 253.25179
  -9.99908,   0.00000,1086.07263, 310.02512,1119.97217, 283.93011
  -2.06451,   0.00000,1002.74811, 329.75516,1076.43835, 391.05832
   0.19379,   0.00000, 978.07983, 346.89148,1052.52722, 422.50150
  12.09564,   0.00000,1049.05261, 336.19388,1027.51917, 387.23434
  -6.21490,   0.00000,1097.23779, 353.31677,1065.32788, 284.11755
  -5.11627,   0.00000,1150.85486, 334.36475,1080.98401, 233.79633
  -7.13043,   0.00000,1112.28296, 326.20633,1095.18494, 266.32581
  -4.56696,   0.00000, 703.89447, 593.44507, 820.25580, 682.40466
  -0.96588,   0.00000, 702.84534, 629.06274, 773.83490, 694.25702
  -0.11139,   0.00000, 706.61743, 638.04889, 762.28528, 693.04840
  -3.04108,   0.00000, 816.59265, 620.07617, 789.04706, 574.28412
  -2.91901,   0.00000, 775.17755, 700.32135, 708.43567, 616.06543
  -4.62799,   0.00000, 700.65918, 611.49207, 802.39191, 685.45685
  -3.52936,   0.00000, 853.97089, 707.50012, 703.08795, 535.44104
 -10.30426,   0.00000, 812.25757, 565.65723, 865.25555, 556.82965
  -1.21002,   0.00000, 665.46814, 620.06250, 783.56757, 730.90179
  -0.41656,   0.00000, 874.35522, 626.09998, 775.14972, 524.39508
  -4.99420,   0.00000, 795.31610, 556.45728, 858.52533, 589.70129
  -6.09283,   0.00000, 660.05664, 608.72516, 809.55334, 721.66486
   0.86517,   0.00000, 850.52710, 623.03107, 774.37341, 552.06842
  -1.21002,   0.00000, 868.28326, 632.80243, 770.82764, 528.08667
 -12.74567,   0.00000, 772.31177, 644.22906, 794.00793, 589.45123
 -16.71295,   0.00000, 740.22540, 627.91595, 822.22290, 609.63574
  -0.84381,   0.00000, 790.55670, 609.11066, 793.42078, 606.91187
  -0.35553,   0.00000, 820.02069, 657.41504, 743.65155, 578.91272
  -9.02252,   0.00000, 780.02368, 657.18951, 769.87805, 592.90875
  -9.69391,   0.00000, 761.32623, 612.57849, 816.50323, 609.59204
  -6.21490,   0.00000, 765.78619, 570.84296, 847.80176, 615.56909
   6.78558,   0.00000, 805.83661, 634.88531, 744.75793, 614.52014
   0.25482,   0.00000, 797.50250, 668.80096, 730.43457, 603.26196
  -1.21002,   0.00000, 802.01160, 600.88721, 802.74286, 594.35834
 -11.52496,   0.00000, 805.35895, 613.03076, 821.54413, 560.06616
  -5.11627,   0.00000, 781.04224, 562.89856, 852.45026, 603.60895
  -1.82037,   0.00000, 755.48901, 629.28656, 776.17456, 639.04987
  -1.82037,   0.00000, 796.67627, 668.99048, 736.47064, 597.86261
   2.26898,   0.00000, 830.16180, 652.43011, 740.76294, 576.64514
  -2.61383,   0.00000, 786.39160, 599.74237, 808.09912, 605.76691
  -9.14459,   0.00000, 762.01483, 593.01727, 834.41650, 610.55139
  -1.39313,   0.00000, 797.31781, 600.92273, 803.25665, 598.50281
  -2.36969,   0.00000, 710.54639, 629.03967, 778.06940, 682.34454
   1.84174,   0.00000, 825.94666, 650.38837, 744.08643, 579.57855
   0.01068,   0.00000, 791.07379, 676.41711, 723.55084, 608.95825
  -1.51520,   0.00000, 778.18597, 608.54395, 796.00165, 617.26843
 -11.46393,   0.00000, 787.50421, 641.87573, 792.51605, 578.10400
 -10.67047,   0.00000, 781.01190, 559.00360, 873.00781, 586.97668
 -11.83014,   0.00000, 755.47949, 592.41077, 843.07965, 609.03009
  -4.44489,   0.00000, 771.47266, 589.17041, 824.16425, 615.19269
   1.29242,   0.00000, 781.12872, 564.45343, 831.66931, 622.74854
   5.13763,   0.00000, 801.01434, 669.61401, 714.97308, 614.39856
   0.98724,   0.00000, 836.11841, 659.11084, 737.92743, 566.84332
   1.90277,   0.00000, 776.58630, 607.37604, 786.91565, 629.12201
 -16.34674,   0.00000, 768.92926, 581.39471, 867.64551, 582.03052
  -4.75006,   0.00000, 768.09540, 550.36127, 863.88892, 617.65442
   1.96381,   0.00000, 784.87152, 586.73181, 807.37677, 621.01990
   0.25482,   0.00000, 834.74493, 659.62439, 739.61115, 566.01953
   0.37689,   0.00000, 791.75092, 658.39880, 740.47052, 609.37976
  -7.49664,   0.00000, 734.95599, 607.00555, 815.48438, 642.55408
  -4.99420,   0.00000, 731.05182, 588.89362, 826.08899, 653.96558
  -0.66071,   0.00000,1164.38635, 245.74747,1156.23462, 233.63155
   4.58832,   0.00000,1170.00696, 263.66895,1122.56604, 243.75797
   1.04828,   0.00000,1183.28418, 293.03494,1103.82019, 219.86064
  -9.08356,   0.00000,1054.63403, 272.45123,1154.79944, 318.11536
  -1.14899,   0.00000,1117.84070, 315.36102,1088.08594, 278.71234
   5.93109,   0.00000,1132.04907, 224.09367,1158.11304, 285.74426
  -0.90485,   0.00000,1150.80835, 342.35178,1060.36279, 246.47710
  -4.56696,   0.00000,1023.57147, 282.68652,1131.01440, 362.72769
  -6.21490,   0.00000,1062.51367, 273.16013,1145.48462, 318.84167
   6.29730,   0.00000,1198.00256, 239.60492,1141.50317, 220.88937
  -2.49176,   0.00000,1205.13184, 305.65244,1101.82288, 187.39284
 -12.37946,   0.00000,1131.42529, 237.82285,1199.31555, 231.43634
  -4.01764,   0.00000,1099.00989, 243.36749,1168.68542, 288.93726
   3.48969,   0.00000,1045.17175, 272.54727,1116.98364, 365.29736
  -3.40729,   0.00000,1050.00256, 290.69299,1119.52893, 339.77563
  -1.21002,   0.00000,1015.71478, 300.46625,1103.16382, 380.65518
   2.20795,   0.00000,1027.31592, 309.76608,1083.61011, 379.30789
  -0.05035,   0.00000,1032.78662, 291.31299,1108.83813, 367.06232
   0.19379,   0.00000,1039.38220, 300.39169,1099.02698, 361.19916
   5.32074,   0.00000,1063.38599, 316.91461,1067.12317, 352.57623
  -7.06940,   0.00000,1070.28638, 315.71057,1105.49768, 308.50537
  -6.27594,   0.00000,1086.12610, 307.59882,1111.22900, 295.04605
   0.43793,   0.00000,1129.81714, 241.32924,1157.35693, 271.49661
