 377.75946, 622.24054, 377.75946, 622.24054, 500.00000,  -5.63226,   0.00000
 436.61465, 563.38531, 436.61465, 563.38531, 500.00000,  -5.60611,   0.00000
 441.83887, 558.16113, 441.83887, 558.16113, 500.00000,  -5.57197,   0.00000
 485.31781, 514.68219, 485.31781, 514.68219, 500.00000,  -5.49654,   0.00000
 437.53851, 562.46149, 437.53851, 562.46149, 500.00000,  -5.45269,   0.00000
 373.45117, 626.54883, 373.45117, 626.54883, 500.00000,  -5.45273,   0.00000
 348.83673, 651.16327, 348.83673, 651.16327, 500.00000,  -5.47277,   0.00000
 350.46365, 649.53632, 350.46365, 649.53632, 500.00000,  -5.49319,   0.00000
 427.07013, 572.92987, 427.07013, 572.92987, 500.00000,  -5.46193,   0.00000
 461.77060, 538.22937, 461.77060, 538.22937, 500.00000,  -5.40985,   0.00000
 473.91476, 526.08527, 473.91476, 526.08527, 500.00000,  -5.35511,   0.00000
 417.77640, 582.22357, 417.77640, 582.22357, 500.00000,  -5.35371,   0.00000
 499.46933, 500.53070, 499.46933, 500.53070, 500.00000,  -5.30209,   0.00000
 411.48962, 588.51038, 411.48962, 588.51038, 500.00000,  -5.31100,   0.00000
 456.92511, 543.07489, 456.92511, 543.07489, 500.00000,  -5.28405,   0.00000
 443.19751, 556.80249, 443.19751, 556.80249, 500.00000,  -5.25300,   0.00000
 460.76550, 539.23450, 460.76550, 539.23450, 500.00000,  -5.20519,   0.00000
 357.40948, 642.59052, 357.40948, 642.59052, 500.00000,  -5.22585,   0.00000
 386.11041, 613.88959, 386.11041, 613.88959, 500.00000,  -5.22441,   0.00000
 426.68781, 573.31219, 426.68781, 573.31219, 500.00000,  -5.19499,   0.00000
 486.58176, 513.41821, 486.58176, 513.41821, 500.00000,  -5.12600,   0.00000
 414.70566, 585.29431, 414.70566, 585.29431, 500.00000,  -5.11146,   0.00000
 513.12512, 486.87488, 513.12512, 486.87488, 500.00000,  -5.03514,   0.00000
 406.80750, 593.19250, 406.80750, 593.19250, 500.00000,  -5.04679,   0.00000
 334.13165, 665.86835, 334.13165, 665.86835, 500.00000,  -5.11222,   0.00000
 407.22388, 592.77612, 407.22388, 592.77612, 500.00000,  -5.12722,   0.00000
 447.63782, 552.36218, 447.63782, 552.36218, 500.00000,  -5.11415,   0.00000
 403.51361, 596.48639, 403.51361, 596.48639, 500.00000,  -5.13204,   0.00000
