 475.45013, 524.54987, 475.45013, 524.54987, 500.00000,  -1.60050,   0.00000
 497.04520, 502.95483, 497.04520, 502.95483, 500.00000,  -2.00446,   0.00000
 510.19650, 489.80353, 510.19650, 489.80353, 500.00000,  -2.36780,   0.00000
 484.97214, 515.02789, 484.97214, 515.02789, 500.00000,  -2.75401,   0.00000
 522.44568, 477.55432, 522.44568, 477.55432, 500.00000,  -3.06549,   0.00000
 451.72681, 548.27319, 451.72681, 548.27319, 500.00000,  -3.45403,   0.00000
 455.96405, 544.03595, 455.96405, 544.03595, 500.00000,  -3.82376,   0.00000
 449.82733, 550.17267, 449.82733, 550.17267, 500.00000,  -4.19329,   0.00000
 452.17868, 547.82129, 452.17868, 547.82129, 500.00000,  -4.53799,   0.00000
 457.77380, 542.22620, 457.77380, 542.22620, 500.00000,  -4.86349,   0.00000
 437.07553, 562.92444, 437.07553, 562.92444, 500.00000,  -5.19381,   0.00000
 422.04321, 577.95679, 422.04321, 577.95679, 500.00000,  -5.53738,   0.00000
 392.10693, 607.89307, 392.10693, 607.89307, 500.00000,  -5.90649,   0.00000
 431.80905, 568.19098, 431.80905, 568.19098, 500.00000,  -6.20874,   0.00000
 428.87997, 571.12006, 428.87997, 571.12006, 500.00000,  -6.50165,   0.00000
 420.38788, 579.61212, 420.38788, 579.61212, 500.00000,  -6.80154,   0.00000
 411.57446, 588.42554, 411.57446, 588.42554, 500.00000,  -7.10305,   0.00000
 401.08041, 598.91956, 401.08041, 598.91956, 500.00000,  -7.42003,   0.00000
 379.43243, 620.56757, 379.43243, 620.56757, 500.00000,  -7.78430,   0.00000
 380.51163, 619.48840, 380.51163, 619.48840, 500.00000,  -8.13414,   0.00000
 414.84943, 585.15057, 414.84943, 585.15057, 500.00000,  -8.42350,   0.00000
 374.67902, 625.32098, 374.67902, 625.32098, 500.00000,  -8.74792,   0.00000
 383.38788, 616.61212, 383.38788, 616.61212, 500.00000,  -9.06722,   0.00000
 331.98355, 668.01648, 331.98355, 668.01648, 500.00000,  -9.44691,   0.00000
 382.80658, 617.19342, 382.80658, 617.19342, 500.00000,  -9.76622,   0.00000
 353.72308, 646.27692, 353.72308, 646.27692, 500.00000, -10.08057,   0.00000
 396.73065, 603.26935, 396.73065, 603.26935, 500.00000, -10.32694,   0.00000
 357.48911, 642.51086, 357.48911, 642.51086, 500.00000, -10.68053,   0.00000
 376.90106, 623.09894, 376.90106, 623.09894, 500.00000, -10.96712,   0.00000
 363.56735, 636.43262, 363.56735, 636.43262, 500.00000, -11.26289,   0.00000
 426.00446, 573.99554, 426.00446, 573.99554, 500.00000, -11.48891,   0.00000
 367.36865, 632.63135, 367.36865, 632.63135, 500.00000, -11.73726,   0.00000
 355.17987, 644.82013, 355.17987, 644.82013, 500.00000, -12.16268,   0.00000
 352.86771, 647.13232, 352.86771, 647.13232, 500.00000, -12.57700,   0.00000
 370.77594, 629.22406, 370.77594, 629.22406, 500.00000, -12.46464,   0.00000
