cam_x,cam_y,cam_z,cam_x_vel,cam_y_vel,cam_z_vel,pitch_cmd,roll_cmd,pitch_desired,roll_desired,pitch_actual,roll_actual,auto_thrust,autonomy_paused
-0.01617,0.06068,0.27609,-0.23870,0.89570,4.07539,6.00000,-6.00000,-3.00000,-3.00000,-0.29604,0.20479,0.00000,0
-0.02587,0.09709,0.44175,-0.80613,3.02490,13.76309,6.00000,-6.00000,-3.00000,-3.00000,-0.21435,0.12651,0.00000,0
-0.02587,0.09709,0.44175,-0.80613,3.02490,13.76309,6.00000,-6.00000,-3.00000,-3.00000,-0.19835,0.12899,0.00000,0
-0.02587,0.09709,0.44175,-0.80613,3.02490,13.76309,6.00000,-6.00000,-3.00000,-3.00000,-0.19546,0.09736,0.00000,0
-0.02587,0.09709,0.44175,-0.80613,3.02490,13.76309,6.00000,-6.00000,-3.00000,-3.00000,-0.18016,0.12977,0.00000,0
-0.03165,0.11888,0.54014,-0.19555,0.73782,3.33222,6.00000,-6.00000,-3.00000,-3.00000,-0.17741,0.16618,0.00000,0
-0.03165,0.11888,0.54014,-0.19555,0.73782,3.33222,6.00000,-6.00000,-3.00000,-3.00000,-0.18625,0.18268,0.00000,0
-0.03165,0.11888,0.54014,-0.19555,0.73782,3.33222,6.00000,-6.00000,-3.00000,-3.00000,-0.22165,0.12964,0.00000,0
-0.03165,0.11888,0.54014,-0.19555,0.73782,3.33222,6.00000,-6.00000,-3.00000,-3.00000,-0.25425,0.14323,0.00000,0
-0.03516,0.13201,0.60018,-0.11903,0.44501,2.03471,6.00000,-4.20368,-3.00000,-2.10184,-0.22824,0.16665,0.00000,0
-0.03516,0.13201,0.60018,-0.11903,0.44501,2.03471,6.00000,-4.20368,-3.00000,-2.10184,-0.21247,0.15438,0.00000,0
-0.03516,0.13201,0.60018,-0.11903,0.44501,2.03471,6.00000,-4.20368,-3.00000,-2.10184,-0.16360,0.13876,0.00000,0
-0.03516,0.13201,0.60018,-0.11903,0.44501,2.03471,6.00000,-4.20368,-3.00000,-2.10184,-0.18351,0.13242,0.00000,0
-0.03734,0.14046,0.63805,-0.07427,0.28767,1.28918,6.00000,-2.90031,-3.00000,-1.45015,-0.17497,0.09207,0.00000,0
-0.03734,0.14046,0.63805,-0.07427,0.28767,1.28918,6.00000,-2.90031,-3.00000,-1.45015,-0.18044,0.04116,0.00000,0
-0.03734,0.14046,0.63805,-0.07427,0.28767,1.28918,6.00000,-2.90031,-3.00000,-1.45015,-0.20842,0.06598,0.00000,0
