  -0.69779,   0.40554
  -0.68981,   1.01416
  -0.64391,   1.07711
  -0.60946,   0.84676
  -0.61905,   0.00219
  -0.54948,  -0.23713
  -0.55179,  -0.66489
  -0.50714,  -0.91097
  -0.48351,  -0.81290
  -0.48355,  -0.81768
  -0.46664,  -0.94712
  -0.38639,  -1.15483
  -0.34455,  -1.01511
  -0.29402,  -0.53151
  -0.22185,  -0.55232
  -0.18335,  -0.61015
  -0.19417,  -0.51504
  -0.19648,  -0.43585
  -0.14347,   0.04941
  -0.12910,   0.57523
  -0.09933,   0.14061
  -0.08769,  -0.86714
  -0.11353,  -0.40113
  -0.15325,   1.85207
  -0.12405,   2.61261
  -0.07337,   1.30053
  -0.08759,   0.28439
  -0.09867,   0.55250
  -0.05498,  -0.20285
  -0.02469,   0.38476
   0.03531,   0.32151
   0.10334,   1.23016
   0.20612,   1.28438
   0.31661,   1.70825
   0.57345,   1.50051
   0.81170,   0.06306
   0.81454,   0.95391
   0.65392,   1.20667
   0.53379,  -1.72952
   0.72535,  -1.80764
   0.91169,  -1.02123
   0.97233,   1.87520
   1.14105,   3.61131
   1.43817,   3.52739
   1.31773,   2.73000
   1.42921,   2.32302
   1.65303,   2.44708
   1.47998,   1.38944
   1.53511,   0.93430
   1.51545,   0.98211
   1.37270,   0.73361
   1.47671,   0.29929
   1.30967,   0.05265
   1.45936,  -0.18943
   1.30676,  -0.27282
   1.35930,  -0.14331
   1.27740,   0.43529
   1.35433,   0.73419
   1.32847,   1.99296
   1.30889,   2.74557
   1.42345,   3.44010
   1.42026,   3.00450
   1.49858,   2.70928
   1.49725,   2.19696
   1.55143,   1.73770
   1.57506,   0.81860
   1.51358,   0.77260
   1.58506,   1.27178
   1.53966,   1.15563
   1.61047,   1.67849
   1.67707,   2.08232
   1.62887,   2.34993
   1.74695,   2.18135
   1.60686,   1.39628
   1.70825,   1.18309
   1.60804,   1.15821
   1.73116,   1.63574
   1.67993,   2.01249
   1.73158,   2.07517
   1.81401,   1.99286
   1.74985,   1.56615
   1.85705,   1.33160
   1.73180,   1.26245
   1.69744,   1.19818
   1.65800,   1.65338
   1.63995,   2.16843
   1.64963,   2.64374
   1.59391,   2.90182
   1.63867,   2.82682
   1.59196,   1.62483
   1.59979,   0.89723
   1.59995,  -0.12801
   1.54631,  -0.11670
   1.54982,   1.26228
   1.63318,   2.02127
   1.58888,   2.52156
   1.72697,   2.52270
   1.76877,   2.84738
   1.75105,   2.96157
   1.80300,   2.88798
   1.71455,   2.23215
   1.79129,   1.68484
   1.75163,   0.50887
   1.74227,   0.13550
   1.78215,   0.21810
   1.74464,   0.75106
   1.86326,   2.55792
   1.81201,   3.05437
   1.78143,   2.58714
   1.85233,   1.82001
   1.72633,   1.01272
   1.77622,   0.89074
   1.66864,   0.47660
   1.64686,  -0.21125
   1.60618,  -0.04385
   1.60758,   1.65550
   1.71463,   2.70093
   1.65546,   3.77139
   1.67288,   3.93362
   1.65918,   3.28805
   1.64616,   2.87095
   1.67287,   2.46412
   1.56715,   1.35088
   1.58130,   0.47850
   1.60864,  -1.29114
   1.54759,  -1.53107
   1.58374,   0.64089
   1.60006,   2.14033
   1.70166,   3.22331
   1.74934,   3.39942
   1.71448,   3.59873
   1.74081,   3.33500
   1.67973,   2.95019
   1.60700,   1.74285
   1.54095,   1.23421
   1.41587,   0.90963
   1.50558,   1.03618
   1.43264,   1.10244
   1.39288,   1.08480
   1.42558,   1.06698
   1.42707,   0.48289
   1.34703,  -1.24362
   1.43228,  -1.35838
   1.28822,  -0.37900
   1.30710,   2.81353
   1.34872,   3.64999
   1.29896,   3.78813
   1.42661,   3.23109
   1.29712,   1.14023
   1.19297,  -0.57072
   1.20765,  -1.56589
   1.10683,   0.08757
   1.24876,   3.54923
   1.24932,   3.80161
   1.22197,   3.57167
   1.19293,   2.23943
   1.10197,   1.73149
   1.04488,   1.29032
   1.00737,   1.04575
   0.97482,   1.40968
   1.01029,   1.44927
   0.94979,   1.11125
   1.00705,  -0.07716
   0.97144,  -0.53500
   0.91545,   0.76872
   1.09518,   3.93005
   1.10026,   4.26611
   1.13590,   3.86409
   1.20427,   2.03926
   1.14343,   0.69814
   1.09331,  -1.49360
   1.10121,  -0.66268
   1.11317,   1.65767
   1.17868,   1.38729
   1.15265,   1.34592
   1.20538,   1.19695
   1.17141,   0.52507
   1.13443,  -0.25679
   1.10870,   0.14419
   1.03911,   0.72756
   1.08430,   0.76039
   0.93556,   0.66556
   1.07441,   1.60007
   1.05309,   2.15340
   1.02773,   2.46048
   1.03227,   2.95917
   0.96593,   3.20100
   0.98307,   2.48362
   0.82160,   1.68298
   0.83587,   1.42979
   0.89920,   1.81960
   0.80357,   1.24851
   0.86909,  -0.66955
   0.78779,  -2.42025
   0.79530,  -1.56088
   0.89173,   1.21637
   0.87083,   4.20279
   1.00037,   4.06756
   1.02152,   2.86720
   1.11833,   2.19661
   1.14904,   1.50331
   1.07447,   1.47813
   1.13703,   1.46534
   1.11286,   0.32831
   1.21821,   0.00432
   1.12697,  -0.25584
   1.12799,   0.31711
   1.11242,   0.93803
   1.19961,   1.19156
   1.16904,   1.25208
   1.16315,   1.06360
   1.13786,   0.74956
   1.17491,  -0.01809
   1.17570,  -0.68381
   1.10957,  -0.07246
   1.21669,   2.49937
   1.21535,   3.12987
   1.26317,   3.52164
   1.28602,   4.29338
   1.31869,   4.17941
   1.32914,   1.82031
   1.31031,   0.38779
   1.20834,  -1.46150
   1.13743,  -1.49642
   1.20031,  -0.77230
   1.19776,   0.86495
   1.28471,   1.59834
   1.30781,   2.56478
   1.40071,   2.55016
   1.47205,   2.49948
   1.45396,   2.43143
   1.51854,   2.40488
   1.46684,   1.72282
   1.52964,   1.10266
   1.43090,  -0.18014
   1.42057,  -0.63986
   1.34215,  -0.89142
   1.39181,  -0.39444
   1.37349,   0.32847
   1.45376,   2.45620
   1.46535,   3.03376
   1.49431,   2.93449
   1.53734,   2.27082
   1.47704,   1.73589
   1.50883,   0.67580
   1.37747,   0.25581
   1.46826,   0.18747
